Fecha,Dia,Casos,NuevosCasos,%DifCases,CasosActivos,NuevosCasesActivos,Fallecidos,NuevasFallecidos,%DifDeaths,TasaMortalidad,Pruebas,NuevasPruebas,%DifTests,%PruebasPositivasDiarias,Recuperados,NuevosRecuperados,%DifRecuperados,Hospitalizados,NuevosHospitalizados,%DiffHospitalized
2020-04-08,36.0,4342.0,1388.0,1.4698713608666216,2888.0,1272.0,121.0,14.0,1.1308411214953271,0.027867342238599723,39599.0,18044.0,1.83711435861749,0.07692307692307693,1333.0,102.0,1.082859463850528,0.0,0.0,0.0
2020-04-09,37.0,5256.0,914.0,1.210502072777522,3680.0,792.0,138.0,17.0,1.140495867768595,0.026255707762557076,48465.0,8866.0,1.2238945427914847,0.1030904579291676,1438.0,105.0,1.0787696924231058,0.0,0.0,0.0
2020-04-10,38.0,5897.0,641.0,1.1219558599695585,4159.0,479.0,169.0,31.0,1.2246376811594204,0.02865863998643378,56681.0,8216.0,1.1695243990508615,0.07801850048685492,1569.0,131.0,1.0910987482614742,687.0,687.0,687.0
2020-04-11,39.0,6848.0,951.0,1.1612684415804646,4928.0,769.0,181.0,12.0,1.0710059171597632,0.02643107476635514,65712.0,9031.0,1.1593302870450415,0.10530395305060347,1739.0,170.0,1.1083492670490758,788.0,101.0,1.1470160116448327
2020-04-12,40.0,7519.0,671.0,1.097984813084112,5528.0,600.0,193.0,12.0,1.0662983425414365,0.025668306955712195,76506.0,10794.0,1.164262235208181,0.062164165277005745,1798.0,59.0,1.0339275445658425,815.0,27.0,1.034263959390863
2020-04-13,41.0,9784.0,2265.0,1.3012368666046017,6926.0,1398.0,216.0,23.0,1.1191709844559585,0.022076860179885527,87116.0,10610.0,1.1386819334431286,0.21347785108388312,2642.0,844.0,1.4694104560622914,901.0,86.0,1.105521472392638
2020-04-14,42.0,10303.0,519.0,1.053045789043336,7204.0,278.0,230.0,14.0,1.0648148148148149,0.022323595069397264,109385.0,22269.0,1.2556246843289407,0.023305940994207193,2869.0,227.0,1.0859197577592732,914.0,13.0,1.0144284128745837
2020-04-15,43.0,11475.0,1172.0,1.1137532757449287,8113.0,909.0,254.0,24.0,1.1043478260869566,0.02213507625272331,121468.0,12083.0,1.1104630433788911,0.0969957791939088,3108.0,239.0,1.0833042872080865,1113.0,199.0,1.2177242888402626
2020-04-16,44.0,12491.0,1016.0,1.0885403050108933,6097.0,-2016.0,274.0,20.0,1.078740157480315,0.021935793771515492,121468.0,0.0,1.0,0.0,6120.0,3012.0,1.9691119691119692,1277.0,164.0,1.1473495058400718
2020-04-17,45.0,13489.0,998.0,1.0798975262188777,6648.0,551.0,300.0,26.0,1.094890510948905,0.022240343983986954,135895.0,14427.0,1.118772022261007,0.06917585083523949,6541.0,421.0,1.0687908496732026,1219.0,-58.0,-1.047579983593109
2020-04-18,46.0,14420.0,931.0,1.069019200830306,7388.0,740.0,348.0,48.0,1.16,0.024133148404993063,143745.0,7850.0,1.057765186357114,0.11859872611464968,6684.0,143.0,1.0218621005962392,1268.0,49.0,1.0401968826907302
2020-04-19,47.0,15628.0,1208.0,1.0837725381414702,8417.0,1029.0,400.0,52.0,1.1494252873563218,0.025595085743537242,148011.0,4266.0,1.0296775540018783,0.28316924519456166,6811.0,127.0,1.0190005984440456,1349.0,81.0,1.0638801261829653
2020-04-20,48.0,16325.0,697.0,1.0445994369081137,8912.0,495.0,445.0,45.0,1.1125,0.027258805513016845,155724.0,7713.0,1.052110991750613,0.0903669130040192,6968.0,157.0,1.023050946997504,1682.0,333.0,1.2468495181616013
2020-04-21,49.0,17837.0,1512.0,1.0926186830015314,10371.0,1459.0,484.0,39.0,1.0876404494382022,0.027134607837640858,170400.0,14676.0,1.0942436618632967,0.10302534750613246,6982.0,14.0,1.0020091848450057,2419.0,737.0,1.4381688466111773
2020-04-22,50.0,19250.0,1413.0,1.0792173571788979,11693.0,1322.0,530.0,46.0,1.0950413223140496,0.027532467532467533,185238.0,14838.0,1.0870774647887325,0.09522846744844318,7027.0,45.0,1.0064451446576912,2434.0,15.0,1.0062009094667217
2020-04-23,51.0,20914.0,1664.0,1.0864415584415585,12920.0,1227.0,572.0,42.0,1.079245283018868,0.027350100411207803,198349.0,13111.0,1.0707792137682333,0.1269163297994051,7422.0,395.0,1.056211754660595,2786.0,352.0,1.1446179129005751
2020-04-24,52.0,21648.0,734.0,1.035096107870326,13518.0,598.0,634.0,62.0,1.1083916083916083,0.029286770140428676,218195.0,19846.0,1.1000559619660295,0.03698478282777386,7496.0,74.0,1.0099703583939639,3194.0,408.0,1.1464465183058148
2020-04-25,53.0,25331.0,3683.0,1.1701311899482632,16834.0,3316.0,700.0,66.0,1.1041009463722398,0.0276341241956496,232747.0,14552.0,1.0666926373198287,0.2530923584387026,7797.0,301.0,1.040154749199573,3532.0,338.0,1.1058234189104572
2020-04-26,54.0,27517.0,2186.0,1.0862974221309858,18701.0,1867.0,728.0,28.0,1.04,0.026456372424319512,232747.0,0.0,1.0,0.0,8088.0,291.0,1.0373220469411313,3632.0,100.0,1.028312570781427
2020-04-27,55.0,28699.0,1182.0,1.0429552640186066,19492.0,791.0,782.0,54.0,1.0741758241758241,0.027248336178960938,239563.0,6816.0,1.0292850176371768,0.17341549295774647,8425.0,337.0,1.0416666666666667,3968.0,336.0,1.092511013215859
2020-04-28,56.0,31190.0,2491.0,1.0867974493884804,21157.0,1665.0,854.0,72.0,1.092071611253197,0.027380570695735813,267612.0,28049.0,1.117084023826718,0.08880887019145067,9179.0,754.0,1.0894955489614244,4088.0,120.0,1.030241935483871
2020-04-29,57.0,33931.0,2741.0,1.0878807310035268,22951.0,1794.0,943.0,89.0,1.104215456674473,0.027791694910259054,318252.0,50640.0,1.1892291825478678,0.054127172195892574,10037.0,858.0,1.0934742346660857,4289.0,201.0,1.0491682974559686
2020-04-30,58.0,36976.0,3045.0,1.089740944858684,25520.0,2569.0,1051.0,108.0,1.114528101802757,0.02842384249242752,342498.0,24246.0,1.0761849100712644,0.12558772581044295,10405.0,368.0,1.0366643419348411,4978.0,689.0,1.1606435066449057
2020-05-01,59.0,40459.0,3483.0,1.0941962353959325,28206.0,2686.0,1124.0,73.0,1.0694576593720266,0.0277812106082701,342498.0,0.0,1.0,0.0,11129.0,724.0,1.0695819317635753,5287.0,309.0,1.0620731217356367
2020-05-02,60.0,42534.0,2075.0,1.051286487555303,28900.0,694.0,1200.0,76.0,1.0676156583629892,0.028212723938496262,375096.0,32598.0,1.0951771981150256,0.0636542119148414,12434.0,1305.0,1.117261209452781,5098.0,-189.0,-1.0370733621027854
2020-05-03,61.0,45928.0,3394.0,1.0797949875393802,31092.0,2192.0,1286.0,86.0,1.0716666666666668,0.028000348371363875,385492.0,10396.0,1.0277155714803676,0.32647171989226625,13550.0,1116.0,1.0897539005951424,5281.0,183.0,1.0358964299725382
2020-05-04,62.0,47372.0,1444.0,1.0314405155896185,31601.0,509.0,1344.0,58.0,1.0451010886469674,0.028371189732331336,406579.0,21087.0,1.0547015242858477,0.06847820932327975,14427.0,877.0,1.0647232472324724,5435.0,154.0,1.0291611437227797
2020-05-05,63.0,51189.0,3817.0,1.0805750232204678,34332.0,2731.0,1444.0,100.0,1.0744047619047619,0.028209185567211706,406579.0,0.0,1.0,0.0,15413.0,986.0,1.0683440770777015,5509.0,74.0,1.0136154553817847
2020-05-06,64.0,54817.0,3628.0,1.070874601965266,35757.0,1425.0,1533.0,89.0,1.061634349030471,0.02796577703996935,448020.0,41441.0,1.1019260709480814,0.08754614994811902,17527.0,2114.0,1.1371569454356711,5729.0,220.0,1.039934652387003
2020-05-07,65.0,58526.0,3709.0,1.0676614918729592,38511.0,2754.0,1627.0,94.0,1.061317677756034,0.027799610429552677,473190.0,25170.0,1.0561805276550154,0.1473579658323401,18388.0,861.0,1.049124208364238,5980.0,251.0,1.04381218362716
2020-05-08,66.0,61847.0,3321.0,1.0567440112086937,41121.0,2610.0,1714.0,87.0,1.0534726490473263,0.02771355118275745,473190.0,0.0,1.0,0.0,19012.0,624.0,1.033935175114205,6155.0,175.0,1.0292642140468227
2020-05-09,67.0,65015.0,3168.0,1.0512231797823661,42955.0,1834.0,1814.0,100.0,1.058343057176196,0.02790125355687149,494250.0,21060.0,1.0445064350472326,0.15042735042735042,20246.0,1234.0,1.0649063749211025,6220.0,65.0,1.0105605199025183
2020-05-10,68.0,67307.0,2292.0,1.035253403060832,44069.0,1114.0,1889.0,75.0,1.0413450937155457,0.02806543153015288,504930.0,10680.0,1.021608497723824,0.21460674157303372,21349.0,1103.0,1.054479897263657,6601.0,381.0,1.0612540192926045
2020-05-11,69.0,68822.0,1515.0,1.0225088029476874,44455.0,386.0,1961.0,72.0,1.0381154049761778,0.02849379558861992,512869.0,7939.0,1.015722971501,0.1908300793550825,22406.0,1057.0,1.0495105157150217,6648.0,47.0,1.0071201333131343
2020-05-12,70.0,72059.0,3237.0,1.0470343785417453,46678.0,2223.0,2057.0,96.0,1.0489546149923508,0.028546052540279494,532169.0,19300.0,1.037631441947164,0.167720207253886,23324.0,918.0,1.0409711684370258,6862.0,214.0,1.0321901323706377
2020-05-13,71.0,76306.0,4247.0,1.0589378148461677,49813.0,3135.0,2169.0,112.0,1.0544482255712202,0.028425025555002228,553302.0,21133.0,1.0397110692280085,0.20096531491032982,24324.0,1000.0,1.0428742925741725,6979.0,117.0,1.0170504226173127
2020-05-14,72.0,80604.0,4298.0,1.0563258459360994,53186.0,3373.0,2267.0,98.0,1.0451821115721531,0.0281251550791524,587292.0,33990.0,1.0614311894769946,0.12644895557516916,25151.0,827.0,1.0339993422134517,6941.0,-38.0,-1.0054747154588677
2020-05-15,73.0,84495.0,3891.0,1.0482730385588805,54956.0,1770.0,2392.0,125.0,1.055138950154389,0.028309367418190425,605383.0,18091.0,1.0308040974506718,0.21507932120944115,27147.0,1996.0,1.0793606616039124,7085.0,144.0,1.0207462901599194
2020-05-16,74.0,88541.0,4046.0,1.0478844902065212,57746.0,2790.0,2523.0,131.0,1.0547658862876255,0.02849527337617601,630482.0,25099.0,1.0414597040220819,0.16120164149966135,28272.0,1125.0,1.0414410432091943,7275.0,190.0,1.0268172194777698
2020-05-17,75.0,92273.0,3732.0,1.0421499644232615,61004.0,3258.0,2648.0,125.0,1.0495441934205312,0.028697452125757264,650613.0,20131.0,1.031929539622067,0.18538572351100294,28621.0,349.0,1.0123443689869835,7408.0,133.0,1.0182817869415808
2020-05-18,76.0,94933.0,2660.0,1.0288275010024601,61838.0,834.0,2789.0,141.0,1.0532477341389728,0.029378614391202217,661132.0,10519.0,1.0161678294162582,0.2528757486453085,30306.0,1685.0,1.0588728555955418,7509.0,101.0,1.013633909287257
2020-05-19,77.0,99483.0,4550.0,1.0479285390749264,60045.0,-1793.0,2914.0,125.0,1.0448189315166727,0.029291436727883157,679582.0,18450.0,1.027906681267886,0.24661246612466126,36524.0,6218.0,1.20517389295849,7526.0,17.0,1.0022639499267545
2020-05-20,78.0,104020.0,4537.0,1.0456057818923836,59028.0,-1017.0,3024.0,110.0,1.0377487989018532,0.029071332436069987,715423.0,35841.0,1.0527397723894982,0.12658686978599928,41968.0,5444.0,1.149052677691381,7533.0,7.0,1.0009301089556206
2020-05-21,79.0,108769.0,4749.0,1.0456546817919632,62024.0,2996.0,3148.0,124.0,1.041005291005291,0.028942069891237394,736500.0,21077.0,1.029460892367173,0.22531669592446743,43597.0,1629.0,1.038815287838353,7455.0,-78.0,-1.0104627766599596
2020-05-22,80.0,111698.0,2929.0,1.0269286285614467,63606.0,1582.0,3244.0,96.0,1.0304955527318933,0.029042597002632096,750526.0,14026.0,1.0190441276306856,0.20882646513617567,44848.0,1251.0,1.0286946349519461,7545.0,90.0,1.012072434607646
2020-05-23,81.0,115745.0,4047.0,1.036231624559079,64457.0,851.0,3373.0,129.0,1.0397657213316893,0.029141647587368785,788341.0,37815.0,1.0503846635559595,0.10702102340341134,47915.0,3067.0,1.0683865501248662,7674.0,129.0,1.0170974155069583
2020-05-24,82.0,119959.0,4214.0,1.0364076201995767,66708.0,2251.0,3456.0,83.0,1.0246071746219982,0.028809843363149075,820967.0,32626.0,1.0413856440296776,0.12916079200637529,49795.0,1880.0,1.0392361473442555,7779.0,105.0,1.0136825645035183
2020-05-25,83.0,123979.0,4020.0,1.0335114497453297,69401.0,2693.0,3629.0,173.0,1.0500578703703705,0.0292710862323458,840922.0,19955.0,1.0243067017310075,0.20145326985717865,50949.0,1154.0,1.0231750175720453,8097.0,318.0,1.0408792903972233
2020-05-26,84.0,129751.0,5772.0,1.0465562716266466,73057.0,3656.0,3788.0,159.0,1.043813722788647,0.02919438000477838,875721.0,34799.0,1.0413819593255973,0.1658668352538866,52906.0,1957.0,1.0384109599795874,8207.0,110.0,1.0135852784982091
2020-05-27,85.0,135905.0,6154.0,1.0474293069032223,75753.0,2696.0,3983.0,195.0,1.0514783526927138,0.029307236672675766,905278.0,29557.0,1.0337516172388237,0.20820786954021045,56169.0,3263.0,1.0616754243375042,8267.0,60.0,1.0073108322164006
2020-05-28,86.0,141779.0,5874.0,1.0432213678672602,78238.0,2485.0,4099.0,116.0,1.0291237760482048,0.028911192771849146,928797.0,23519.0,1.025979864748729,0.24975551681619115,59442.0,3273.0,1.0582705762965336,8395.0,128.0,1.0154832466432806
2020-05-29,87.0,148285.0,6506.0,1.0458883191445842,81264.0,3026.0,4230.0,131.0,1.0319590143937545,0.028526148969889066,963617.0,34820.0,1.0374893545091124,0.1868466398621482,62791.0,3349.0,1.0563406345681505,8433.0,38.0,1.004526503871352
2020-05-30,88.0,155671.0,7386.0,1.049809488485012,84853.0,3589.0,4371.0,141.0,1.0333333333333334,0.02807844749503761,1012708.0,49091.0,1.0509445142624092,0.15045527693467234,66447.0,3656.0,1.0582249048430508,8465.0,32.0,1.0037946163879996
2020-05-31,89.0,164476.0,8805.0,1.056561594645117,92762.0,7909.0,4506.0,135.0,1.030885380919698,0.027396094262992776,1058874.0,46166.0,1.045586684414461,0.19072477580903696,67208.0,761.0,1.0114527367676494,8882.0,417.0,1.049261665682221
2020-06-01,90.0,170039.0,5563.0,1.033822563778302,96898.0,4136.0,4634.0,128.0,1.0284065690190856,0.027252571468898312,1076659.0,17785.0,1.0167961438282553,0.31279167838065786,68507.0,1299.0,1.0193280561837876,8868.0,-14.0,-1.001578709968426
2020-06-02,91.0,174884.0,4845.0,1.02849346326431,100860.0,3962.0,4767.0,133.0,1.0287009063444108,0.02725806820521031,1092646.0,15987.0,1.0148487125450119,0.30305873522236815,69257.0,750.0,1.0109477863575984,8930.0,62.0,1.0069914298601714
2020-06-03,92.0,178914.0,4030.0,1.0230438462066285,101701.0,841.0,4894.0,127.0,1.026641493601846,0.027353924231753802,1115615.0,22969.0,1.0210214470194372,0.17545387261091036,72319.0,3062.0,1.0442121374012736,10101.0,1171.0,1.1311310190369541
2020-06-04,93.0,183198.0,4284.0,1.0239444649384621,101939.0,238.0,5031.0,137.0,1.0279934613812831,0.02746209019749124,1135831.0,20216.0,1.0181209467423797,0.21191135734072022,76228.0,3909.0,1.0540521854561042,9063.0,-1038.0,-1.1145316120489903
2020-06-05,94.0,187400.0,4202.0,1.0229369316258912,103024.0,1085.0,5162.0,131.0,1.026038560922282,0.02754535752401281,1154468.0,18637.0,1.0164082508753502,0.22546547191071525,79214.0,2986.0,1.039171957810778,9198.0,135.0,1.0148957298907646
2020-06-06,95.0,191758.0,4358.0,1.0232550693703308,103726.0,702.0,5301.0,139.0,1.026927547462224,0.027644218233398347,1173003.0,18535.0,1.0160550140844093,0.23512274076072295,82731.0,3517.0,1.0443987173984397,9500.0,302.0,1.0328332246140466
2020-06-07,96.0,196515.0,4757.0,1.0248073092126535,104831.0,1105.0,5465.0,164.0,1.0309375589511414,0.02780958196575325,1191956.0,18953.0,1.0161576739360427,0.25098928929457076,86219.0,3488.0,1.0421607378129116,9583.0,83.0,1.0087368421052632
2020-06-08,97.0,199696.0,3181.0,1.0161870595119966,104569.0,-262.0,5571.0,106.0,1.0193961573650503,0.027897404054162328,1203985.0,12029.0,1.0100918154696985,0.26444425970571117,89556.0,3337.0,1.0387037659912548,9661.0,78.0,1.008139413544819
2020-06-09,98.0,203736.0,4040.0,1.0202307507411266,105069.0,500.0,5738.0,167.0,1.0299766648716568,0.028163898378293476,1227691.0,23706.0,1.019689614073265,0.17042099046654854,92929.0,3373.0,1.0376635847961053,9903.0,242.0,1.0250491667529242
2020-06-10,99.0,208823.0,5087.0,1.024968586798602,104889.0,-180.0,5903.0,165.0,1.028755663994423,0.028267958989191804,1255756.0,28065.0,1.022859986755625,0.18125779440584358,98031.0,5102.0,1.0549021295827998,9916.0,13.0,1.0013127335150964
2020-06-11,100.0,214788.0,5965.0,1.0285648611503522,106250.0,1361.0,6109.0,206.0,1.0348975097408097,0.02844199862189694,1282478.0,26722.0,1.0212796116443004,0.22322430955766784,102429.0,4398.0,1.0448633595495302,10026.0,110.0,1.0110931827349738
2020-06-12,101.0,220749.0,5961.0,1.0277529470920164,107308.0,1058.0,6308.0,199.0,1.0325748895072844,0.028575440885349423,1315417.0,32939.0,1.0256838713802499,0.18097088557636845,107133.0,4704.0,1.0459244940397738,10121.0,95.0,1.009475364053461
2020-06-13,102.0,225132.0,4383.0,1.019855129581561,106910.0,-398.0,6498.0,190.0,1.0301204819277108,0.028863067000692928,1338477.0,23060.0,1.017530562551647,0.19006938421509106,111724.0,4591.0,1.0428532758347102,10342.0,221.0,1.0218357869775714
2020-06-14,103.0,229736.0,4604.0,1.0204502247570315,107469.0,559.0,6688.0,190.0,1.0292397660818713,0.029111676010725354,1360839.0,22362.0,1.0167070483840963,0.20588498345407388,115579.0,3855.0,1.0345046722279905,10297.0,-45.0,-1.0043702049140526
2020-06-15,104.0,232992.0,3256.0,1.0141727896368005,106723.0,-746.0,6860.0,172.0,1.0257177033492824,0.029443071006729844,1376478.0,15639.0,1.0114921750478933,0.2081974550802481,119409.0,3830.0,1.0331375076787306,10295.0,-2.0,-1.0001942690626517
2020-06-16,105.0,237156.0,4164.0,1.0178718582612278,104895.0,-1828.0,7056.0,196.0,1.0285714285714285,0.029752567929970147,1396605.0,20127.0,1.014622100752791,0.20688627217170966,125205.0,5796.0,1.0485390548451121,10177.0,-118.0,-1.0115947725262848
